id,book_name,char,caption,content,label
55,In Search of the Castaways,Thalcave,,"His first double role: hired by a British Geographical Society expedition, he quietly altered the route to shield sacred Indian sites.",consistent
12,In Search of the Castaways,Jacques Paganel,,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”,contradict
13,In Search of the Castaways,Jacques Paganel,,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.,consistent
102,The Count of Monte Cristo,Noirtier,Involvement and Turning Point in the French Revolution,"During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists.",consistent
92,The Count of Monte Cristo,Noirtier,A Double Life in the Napoleonic Era,"**Father-son Rift**: Discovering that his elder son Gérard (Villefort) sought to wed into the old aristocracy, Noirtier publicly burned the Saint-Méran betrothal contract (1804), forcing Villefort to flee to Paris overnight.",contradict
1,In Search of the Castaways,Jacques Paganel,,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew himself, earning his father’s scolding for neglecting “serious” pursuits.",consistent
11,In Search of the Castaways,Jacques Paganel,,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.,contradict
65,In Search of the Castaways,Thalcave,,"British officers marvelled that he handled canoe, coast and jungle with equal ease, shuttling supplies and so preparing his later berth on the Dartmouth.",consistent
107,The Count of Monte Cristo,Noirtier,Political Intrigue and Personal Ambition,Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs.,contradict
66,In Search of the Castaways,Thalcave,,"Lord Glenarvan met him briefly at a London Royal Geographical Society dinner, was struck by his encyclopaedic knowledge of mountains and seas and hired him at once as guide for the South-American interior.",contradict
89,The Count of Monte Cristo,Noirtier,Political Awakening in Youth,"**Turning Point**: Arguing for procedural justice at Louis XVI’s trial (1793) he was driven from the inner circle, an experience that later anchored his insistence on legal formalism.",contradict
34,In Search of the Castaways,Tom Ayrton/Ben Joyce,,He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon.,consistent
99,The Count of Monte Cristo,Noirtier,Early Life and Political Awakening,"Born into a Parisian legal family, he absorbed his father’s staunch republicanism and his mother’s gentler sensibility, learning to balance reason with feeling.",consistent
123,The Count of Monte Cristo,Faria,Foreshadowing of Relationships,"In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents.",consistent
116,The Count of Monte Cristo,Faria,The Origin of Political Intrigue,"In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit.",contradict
43,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere.",contradict
108,The Count of Monte Cristo,Noirtier,The Complexity of Family and Personal Life,"He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward.",consistent
128,The Count of Monte Cristo,Faria,The Origin of the Key Artifact,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",consistent
29,In Search of the Castaways,Tom Ayrton/Ben Joyce,,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.,consistent
69,In Search of the Castaways,Kai-Koumou,,"At seventeen he was poisoned by an uncle during a succession struggle; manuka-bark saved him and left his nature darker. To obtain powder against the colonists he led thirty warriors against the French merchantman Amethyst, seized flint-lock muskets and picked up basic French, then discovered the captain selling Maori slaves and sacrificed every prisoner to the volcano-god.",consistent
50,In Search of the Castaways,Thalcave,,He saved an old shepherd bitten by a viper; in gratitude the man gave him a secret map of pampas water-holes and taught him that a guide’s duty is to keep life moving.,consistent
5,In Search of the Castaways,Jacques Paganel,,"During an Algerian geological survey he shielded a box of specimens in a sand-storm, was struck on the head and afterwards often mixed up dates and directions.",consistent
39,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"After discharge he adopted the alias Ben Joyce and shipped on the Liverpool–Lisbon trader, forming a mentor-friend bond with Captain Dewey and second mate Eddie.",contradict
19,In Search of the Castaways,Jacques Paganel,,Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation.,consistent
113,The Count of Monte Cristo,Faria,Early Academic Background,"Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues.",contradict
139,The Count of Monte Cristo,Faria,Addendum to Character Relationships,"Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope.",consistent
71,In Search of the Castaways,Kai-Koumou,,"During the north-island war he let troops burn an empty village, lured them into a swamp and battered them with captured European cannon; the victory won him the name “Bone-Eater,” but shrapnel crippled his left leg and he thereafter leaned on a peach-wood staff carved with sea-monster totems.",contradict
26,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where nuns pilfered relief supplies, teaching him to despise authority.",consistent
117,The Count of Monte Cristo,Faria,The Origin of Political Intrigue,While escaping he hid lifetime research manuscripts in a Madeira monastery cellar—the eventual clue to Monte Cristo’s treasure.,contradict
6,In Search of the Castaways,Jacques Paganel,,"In a Marseille waterfront bar he met young Captain Grant; a fierce argument over Magellan Strait tides almost came to blows, but ended in mutual respect and an exchange of pocket-watches.",consistent
76,In Search of the Castaways,Kai-Koumou,,"He carried a European pocket-watch taken from the French mate, its inner lid holding a lock of Julia’s hair, which explained both his grasp of mechanical time and his disgust for Christian objects.",consistent
17,In Search of the Castaways,Jacques Paganel,,"His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor.",contradict
20,In Search of the Castaways,Jacques Paganel,,After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue.,consistent
10,In Search of the Castaways,Jacques Paganel,,While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.”,consistent
122,The Count of Monte Cristo,Faria,Foreshadowing of Relationships,At a Vienna-congress salon he briefly watched young prosecutor Villefort tamper with evidence against an Italian revolutionary.,contradict
62,In Search of the Castaways,Thalcave,,"Loss turned him taciturn, acting more than speaking; he felt deep pity for sufferers and stayed calmly watchful toward oppressors.",consistent
36,In Search of the Castaways,Tom Ayrton/Ben Joyce,,Ritual disguise: the Bible-quoting habit he had picked up as a mission pupil became a mask for his emotions.,consistent
73,In Search of the Castaways,Kai-Koumou,,"Finding missionaries wrapping opium in Bible pages, he ordered every book burned except the sheepskin map showing ancestral migration routes.",consistent
98,The Count of Monte Cristo,Noirtier,Resolution of Original Issues,"Hidden Waterloo-era diplomatic letters in his study ensured that political foes dared not silence him, explaining how he could still shield Valentine after losing the power of speech.",contradict
25,In Search of the Castaways,Jacques Paganel,,On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs.,consistent
120,The Count of Monte Cristo,Faria,Life in Captivity Before Château d'If,"He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble.",consistent
105,The Count of Monte Cristo,Noirtier,Political Intrigue and Personal Ambition,"He became head of a clandestine anti-Bonaparte society, organising underground actions to sap the Emperor’s support.",contradict
57,In Search of the Castaways,Thalcave,,"Early trauma: at seven his father vanished in a local uprising, at nine his mother died of illness; a banished Jesuit, Father Leclere, raised him in a mountain mission.",consistent
106,The Count of Monte Cristo,Noirtier,Political Intrigue and Personal Ambition,At a society meeting he met Fernand; though on opposite sides they used each other—Noirtier exploiting Fernand’s military information.,contradict
118,The Count of Monte Cristo,Faria,The Origin of Political Intrigue,"French gendarmes seized him at Toulon, accusing him of planning to bomb Bourbon restoration festivities; the real motive was that his code-breaking threatened a cardinal’s secret correspondence.",contradict
126,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits,His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot.,consistent
4,In Search of the Castaways,Jacques Paganel,,"Sitting in on lectures uninvited, he was thrown out after shouting “The secret is on the 37th southern parallel!” while the professor explained Earth’s equatorial bulge.",consistent
125,The Count of Monte Cristo,Faria,The Formation of Spiritual Traits,"In India he watched British troops crush a rising; to spare the rebel leader further torture he gave the man a merciful death, shaping his ethic of “killing when kindness demands it.”",consistent
40,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Skilled in shipboard medicine, he secretly stitched soldiers’ wounds yet distrusted shipmates, keeping a mental log and cultivating a “save-yourself-first” instinct.",consistent
96,The Count of Monte Cristo,Noirtier,Completing Character Relationships,When he saw that Valentine had inherited his trembling hands he began training her to communicate by eye movement (1819); after his own paralysis the method evolved into a blink-code.,contradict
45,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"Watching natives slaughtered in a raid re-awakened his conscience: he cached weapons, torched the trader and raised a stone marker beside the blaze to record his regret and repentance.",contradict
54,In Search of the Castaways,Thalcave,,"He briefly loved Chilean doctor Mariana, who wanted him to settle down but was refused; she died nursing cholera-stricken Indians. When he burned her belongings he kept the brass compass she had given him.",consistent
8,In Search of the Castaways,Jacques Paganel,,While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore.,consistent
32,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"During clashes between tribe and settlers he steered both sides toward mutual ruin, then welded the survivors into an underground intelligence web that straddled the two worlds.",consistent
14,In Search of the Castaways,Jacques Paganel,,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.,contradict
63,In Search of the Castaways,Thalcave,,With the rescue squad he learned enough nautical English to converse with Captain Horace and the sailors.,contradict
41,In Search of the Castaways,Tom Ayrton/Ben Joyce,,"In Lisbon he unwittingly helped a black-marketeer dodge duty, was introduced to Duncan’s smuggling ring and, using his sea-craft, slipped past patrols several times; guilt nibbled at him yet profit lured him deeper.",consistent
23,In Search of the Castaways,Jacques Paganel,,"After his mother died she entrusted him with the care of his toddler half-brother; the child was later taken to Europe by the French stepfather and never heard from again, leaving Paganel with a lifelong dread of “separation by life and death.”",consistent
90,The Count of Monte Cristo,Noirtier,A Double Life in the Napoleonic Era,"To obtain royalist intelligence from the Vendée he married Éloïse, daughter of a ruined local noble (1800); when he learned she secretly backed the Chouans he arranged her “accidental” drowning (1802).",consistent
100,The Count of Monte Cristo,Noirtier,Early Life and Political Awakening,"Growing up in Paris he devoured Voltaire and Rousseau, burning with enthusiasm for liberty and equality.",consistent
138,The Count of Monte Cristo,Faria,Addendum to Character Relationships,Long political warfare severed him from his family; the once-noble house declined and could offer no help.,consistent
130,The Count of Monte Cristo,Faria,The Answer to a Lingering Question,What seemed an epileptic fit was in fact sudden death from years of drinking prison water laced with lead.,contradict
48,In Search of the Castaways,Thalcave,,"Passing as a half-caste gaucho he worked on a ranch, picked up Spanish and the settlers’ rules, yet guarded his tribe’s herb lore and nature beliefs.",consistent
